,neuron_id,celltype,additional_annotations,IO
0,29,KC,KC,
1,37365,sensory,visual,input
2,40045,sensory,olfactory,input
3,40152,sensory,gut,input
4,677717,KC,KC,
5,766246,sensory,visual,input
6,858479,DN-SEZ,no official annotation,output
7,865151,DN-SEZ,no official annotation,output
8,867393,PN,gut 2nd_order PN,
9,869360,DN-SEZ,no official annotation,output
10,891237,sensory,respiratory,input
11,900032,sensory,visual,input
12,902038,sensory,visual,input
13,902877,sensory,visual,input
14,945309,sensory,gut,input
15,946481,sensory,visual,input
16,992646,DN-SEZ,no official annotation,output
17,1011675,sensory,gustatory-pharyngeal,input
18,1042538,ascending,A00c_a6; noci,input
19,1065967,DN-VNC,T2_left,output
20,1137946,PN-somato,mechano-Ch 2nd_order PN,
21,1141813,PN-somato,noci 2nd_order PN,
22,1347886,sensory,gustatory-pharyngeal,input
23,1351125,sensory,gut,input
24,1367171,sensory,gut,input
25,1375101,sensory,gut,input
26,1377586,sensory,gut,input
27,1391179,sensory,gut,input
28,1392771,sensory,gut,input
29,1395971,sensory,gut,input
30,1398253,sensory,gut,input
31,1400725,sensory,gut,input
32,1405493,sensory,gut,input
33,1406463,sensory,gut,input
34,1414206,sensory,gut,input
35,1415168,sensory,gut,input
36,1419315,sensory,gut,input
37,1427012,sensory,gut,input
38,1428271,sensory,gut,input
39,1429969,sensory,gut,input
40,1431256,sensory,gut,input
41,1432836,sensory,gut,input
42,1435466,sensory,gut,input
43,1591270,pre-DN-VNC,no official annotation,
44,1622901,DN-VNC,SEZ_left,output
45,1646076,pre-DN-VNC,no official annotation,
46,1678567,DN-VNC,SEZ_left,output
47,1679034,pre-DN-VNC,no official annotation,
48,1690576,ascending,A00c_a6; noci,input
49,1706716,sensory,gustatory-pharyngeal,input
50,1709802,sensory,gustatory-pharyngeal,input
51,1715990,sensory,gustatory-pharyngeal,input
52,1805406,,,
53,1805418,pre-DN-SEZ,no official annotation,
54,1805669,pre-DN-VNC,no official annotation,
55,1856512,sensory,visual,input
56,1868538,pre-DN-VNC,no official annotation,
57,1869592,,,
58,1924051,DN-SEZ,no official annotation,output
59,1961182,pre-DN-VNC,no official annotation,
60,1980134,DN-VNC,A4_left,output
61,2123422,ascending,mechano-Ch,input
62,2142817,pre-DN-SEZ,no official annotation,
63,2200028,sensory,visual,input
64,2204467,PN,Pdf-LaNs; visual 2nd_order PN,
65,2206279,sensory,visual,input
66,2209091,sensory,visual,input
67,2215247,sensory,visual,input
68,2215447,sensory,visual,input
69,2215622,sensory,visual,input
70,2216131,sensory,visual,input
71,2216187,sensory,visual,input
72,2216445,sensory,visual,input
73,2260755,RGN,no official annotation,output
74,2283495,RGN,no official annotation,output
75,2284021,sensory,gut,input
76,2340336,sensory,gut,input
77,2355126,RGN,no official annotation,output
78,2357110,RGN,no official annotation,output
79,2369444,LHN,no official annotation,
80,2379529,LHN,no official annotation,
81,2379544,,,
82,2432564,PN,gut 2nd_order PN,
83,2438653,pre-DN-VNC,no official annotation,
84,2439067,LHN,LHN-8,
85,2439134,LHN,no official annotation,
86,2439150,LHN,no official annotation,
87,2456826,sensory,gut,input
88,2504517,pre-DN-VNC,no official annotation,
89,2505266,PN-somato,proprio 2nd_order PN,
90,2506050,MBIN,DAN-f1,
91,2511238,ascending,A00c_a4; noci,input
92,2512602,PN,Pdf-LaNs; visual 2nd_order PN,
93,2532841,sensory,visual,input
94,2544902,sensory,visual,input
95,2552701,sensory,visual,input
96,2557644,DN-SEZ,no official annotation,output
97,2568465,PN,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,
98,2568522,PN,gustatory-external 2nd_order PN,
99,2571761,sensory,olfactory,input
100,2582391,sensory,olfactory,input
101,2584838,sensory,olfactory,input
102,2597151,pre-DN-VNC,no official annotation,
103,2608843,sensory,olfactory,input
104,2610744,sensory,thermo-warm,input
105,2611805,sensory,olfactory,input
106,2612527,PN,mPN; Multiglomerular PN 3; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,
107,2619565,ascending,A00c_a5; noci,input
108,2628785,PN,LHN-19; CN-55; gustatory-external 2nd_order PN,
109,2648254,DN-SEZ,no official annotation,output
110,2650887,pre-DN-VNC,no official annotation,
111,2652641,,,
