,neuron_id,cell_type,synapse_type,IO
0,29,KCs,excitatory,output
1,37365,,,input
2,40045,,,input
3,40152,,,input
4,677717,KCs,excitatory,output
5,766246,,,input
6,858479,DN-SEZs,mixed,output
7,865151,DN-SEZs,mixed,output
8,867393,PNs,excitatory,output
9,869360,DN-SEZs,mixed,output
10,891237,,,input
11,900032,,,input
12,902038,,,input
13,902877,,,input
14,945309,,,input
15,946481,,,input
16,992646,DN-SEZs,mixed,output
17,1011675,,,input
18,1042538,,,input
19,1065967,DN-VNCs,mixed,output
20,1137946,PNs-somato,excitatory,output
21,1141813,PNs-somato,excitatory,output
22,1347886,,,input
23,1351125,,,input
24,1367171,,,input
25,1375101,,,input
26,1377586,,,input
27,1391179,,,input
28,1392771,,,input
29,1395971,,,input
30,1398253,,,input
31,1400725,,,input
32,1405493,,,input
33,1406463,,,input
34,1414206,,,input
35,1415168,,,input
36,1419315,,,input
37,1427012,,,input
38,1428271,,,input
39,1429969,,,input
40,1431256,,,input
41,1432836,,,input
42,1435466,,,input
43,1591270,pre-DN-VNCs,mixed,output
44,1622901,DN-VNCs,mixed,output
45,1646076,pre-DN-VNCs,mixed,output
46,1678567,DN-VNCs,mixed,output
47,1679034,pre-DN-VNCs,mixed,output
48,1690576,,,input
49,1706716,,,input
50,1709802,,,input
51,1715990,,,input
52,1805406,,,output
53,1805418,pre-DN-SEZs,mixed,output
54,1805669,pre-DN-VNCs,mixed,output
55,1856512,,,input
56,1868538,pre-DN-VNCs,mixed,output
57,1869592,,,output
58,1924051,DN-SEZs,mixed,output
59,1961182,pre-DN-VNCs,mixed,output
60,1980134,DN-VNCs,mixed,output
61,2123422,,,input
62,2142817,pre-DN-SEZs,mixed,output
63,2200028,,,input
64,2204467,PNs,excitatory,
65,2206279,,,input
66,2209091,,,input
67,2215247,,,input
68,2215447,,,input
69,2215622,,,input
70,2216131,,,input
71,2216187,,,input
72,2216445,,,input
73,2260755,RGNs,inhibitory,
74,2283495,RGNs,inhibitory,
75,2284021,,,input
76,2340336,,,input
77,2355126,RGNs,inhibitory,
78,2357110,RGNs,inhibitory,
79,2369444,LHNs,excitatory,output
80,2379529,LHNs,excitatory,output
81,2379544,,,output
82,2432564,PNs,excitatory,output
83,2438653,pre-DN-VNCs,mixed,output
84,2439067,LHNs,excitatory,output
85,2439134,LHNs,excitatory,output
86,2439150,LHNs,excitatory,output
87,2456826,,,input
88,2504517,pre-DN-VNCs,mixed,output
89,2505266,PNs-somato,excitatory,output
90,2506050,MBINs,mixed,output
91,2511238,,,input
92,2512602,,,
93,2532841,,,input
94,2544902,,,input
95,2552701,,,input
96,2557644,DN-SEZs,mixed,output
97,2568465,PNs,excitatory,output
98,2568522,PNs,excitatory,output
99,2571761,,,input
100,2582391,,,input
101,2584838,,,input
102,2597151,pre-DN-VNCs,mixed,output
103,2608843,,,input
104,2610744,,,input
105,2611805,,,input
106,2612527,PNs,excitatory,output
107,2619565,,,input
108,2628785,PNs,excitatory,output
109,2648254,DN-SEZs,mixed,output
110,2650887,pre-DN-VNCs,mixed,output
111,2652641,,,output
112,2655798,DN-SEZs,mixed,output
113,2659386,RGNs,inhibitory,
114,2659504,pre-DN-VNCs,mixed,output
115,2660767,,,
116,2663649,,,
117,2667061,CNs,mixed,output
118,2667980,,,output
119,2669331,,,
120,2669844,DN-VNCs,mixed,output
121,2670619,DN-SEZs,mixed,output
122,2772093,pre-DN-VNCs,mixed,output
123,2775707,PNs,excitatory,
124,2775943,PNs,excitatory,
125,2776773,LNs,inhibitory,output
126,2784471,,,input
127,2797480,pre-DN-VNCs,mixed,output
128,2816457,,,input
129,2842451,,,output
130,2846555,PNs-somato,excitatory,output
131,2852273,RGNs,inhibitory,
132,2854715,,,output
133,2878185,,,output
134,2881070,PNs-somato,excitatory,output
135,2885630,PNs-somato,excitatory,output
136,2910892,PNs-somato,excitatory,output
137,2911847,PNs-somato,excitatory,output
138,2914206,LHNs,excitatory,output
139,2920061,LNs,inhibitory,output
140,2920554,LNs,inhibitory,output
141,2921933,LNs,inhibitory,output
142,2932028,LHNs,excitatory,output
143,2935173,LHNs,excitatory,output
144,2935198,LNs,inhibitory,output
145,2963280,LHNs,excitatory,output
146,2964760,pre-DN-VNCs,mixed,output
147,2966602,MB-FBNs,inhibitory,output
148,2979486,LHNs,excitatory,output
149,2979675,pre-DN-VNCs,mixed,output
150,2988292,pre-DN-VNCs,mixed,output
151,3002410,PNs,excitatory,output
152,3009700,DN-VNCs,mixed,output
153,3010486,pre-DN-VNCs,mixed,output
154,3021609,pre-DN-VNCs,mixed,output
155,3027876,DN-SEZs,mixed,output
156,3032520,,,input
157,3036249,,,input
158,3043970,,,output
159,3044500,DN-SEZs,mixed,output
160,3046503,,,
161,3048606,DN-VNCs,mixed,output
162,3050645,,,input
163,3054101,,,input
164,3058132,pre-DN-VNCs,mixed,output
165,3060480,pre-DN-VNCs,mixed,output
166,3061422,,,output
167,3071301,,,input
168,3093284,,,input
169,3122533,,,
170,3123905,,,input
171,3149791,pre-DN-VNCs,mixed,output
172,3157405,MB-FBNs,inhibitory,output
173,3158085,pre-DN-VNCs,mixed,output
174,3158123,LHNs,excitatory,output
175,3158543,,,input
176,3163105,,,output
177,3166745,,,output
178,3166836,,,output
179,3167039,,,output
180,3180681,pre-DN-SEZs,mixed,output
181,3182103,pre-DN-SEZs,mixed,output
182,3192952,,,input
183,3199456,,,input
184,3220616,,,input
185,3232277,CNs,mixed,
186,3232808,LHNs,excitatory,output
187,3234817,LNs,inhibitory,output
188,3235409,,,output
189,3251140,,,output
190,3267019,,,input
191,3272218,,,output
192,3276003,pre-DN-VNCs,mixed,output
193,3281684,RGNs,inhibitory,
194,3299214,MBONs,excitatory,output
195,3347708,KCs,excitatory,output
196,3347834,KCs,excitatory,output
197,3410499,,,input
198,3410506,,,input
